Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall_amount,Period over which rainfall was measured (days),Quality
IDCJAC0009,87031,2008,11,12,0,1,N
IDCJAC0009,87031,2008,11,13,0,1,N
IDCJAC0009,87031,2008,11,14,3.2,1,N
IDCJAC0009,87031,2008,11,15,0.2,1,N
IDCJAC0009,87031,2008,11,16,0,1,N
IDCJAC0009,87031,2008,11,17,0,1,N
IDCJAC0009,87031,2008,11,18,0,1,N
IDCJAC0009,87031,2008,11,19,0.6,1,N
IDCJAC0009,87031,2008,11,20,2,1,N
IDCJAC0009,87031,2008,11,21,0.2,1,N
IDCJAC0009,87031,2008,11,22,3.4,1,N
IDCJAC0009,87031,2008,11,23,5.4,1,N
IDCJAC0009,87031,2008,11,24,0.2,1,N
IDCJAC0009,87031,2008,11,25,0,1,N
IDCJAC0009,87031,2008,11,26,0,1,N
IDCJAC0009,87031,2008,11,27,0,1,N
IDCJAC0009,87031,2008,11,28,5,1,N
IDCJAC0009,87031,2008,11,29,0.4,1,N
IDCJAC0009,87031,2008,11,30,0,1,N
IDCJAC0009,87031,2008,12,1,1.4,1,N
IDCJAC0009,87031,2008,12,2,0,1,N
IDCJAC0009,87031,2008,12,3,0,1,N
IDCJAC0009,87031,2008,12,4,0,1,N
IDCJAC0009,87031,2008,12,5,0.6,1,N
IDCJAC0009,87031,2008,12,6,0,1,N
IDCJAC0009,87031,2008,12,7,0,1,N
IDCJAC0009,87031,2008,12,8,0,1,N
IDCJAC0009,87031,2008,12,9,0,1,N
IDCJAC0009,87031,2008,12,10,4.2,1,N
IDCJAC0009,87031,2008,12,11,0,1,N
IDCJAC0009,87031,2008,12,12,0,1,N
IDCJAC0009,87031,2008,12,13,45.6,1,N
IDCJAC0009,87031,2008,12,14,34.4,1,N
IDCJAC0009,87031,2008,12,15,1,1,N
IDCJAC0009,87031,2008,12,16,0,1,N
IDCJAC0009,87031,2008,12,17,2.2,1,N
IDCJAC0009,87031,2008,12,18,1.8,1,N
IDCJAC0009,87031,2008,12,19,0.8,1,N
IDCJAC0009,87031,2008,12,20,0.2,1,N
IDCJAC0009,87031,2008,12,21,0,1,N
IDCJAC0009,87031,2008,12,22,0,1,N
IDCJAC0009,87031,2008,12,23,0,1,N
IDCJAC0009,87031,2008,12,24,0,1,N
IDCJAC0009,87031,2008,12,25,0,1,N
IDCJAC0009,87031,2008,12,26,0,1,N
IDCJAC0009,87031,2008,12,27,0,1,N
IDCJAC0009,87031,2008,12,28,0,1,N
IDCJAC0009,87031,2008,12,29,0,1,N
IDCJAC0009,87031,2008,12,30,1,1,N
IDCJAC0009,87031,2008,12,31,0.2,1,N
IDCJAC0009,87031,2009,1,1,0.2,1,N
IDCJAC0009,87031,2009,1,2,0,1,N
IDCJAC0009,87031,2009,1,3,0,1,N
IDCJAC0009,87031,2009,1,4,0,1,N
IDCJAC0009,87031,2009,1,5,0,1,N
IDCJAC0009,87031,2009,1,6,0,1,N
IDCJAC0009,87031,2009,1,7,0,1,N
IDCJAC0009,87031,2009,1,8,0,1,N
IDCJAC0009,87031,2009,1,9,0,1,N
IDCJAC0009,87031,2009,1,10,0,1,N
IDCJAC0009,87031,2009,1,11,0,1,N
IDCJAC0009,87031,2009,1,12,0,1,N
IDCJAC0009,87031,2009,1,13,0,1,N
IDCJAC0009,87031,2009,1,14,0,1,N
IDCJAC0009,87031,2009,1,15,0,1,N
IDCJAC0009,87031,2009,1,16,0,1,N
IDCJAC0009,87031,2009,1,17,0,1,N
IDCJAC0009,87031,2009,1,18,0,1,N
IDCJAC0009,87031,2009,1,19,0,1,N
IDCJAC0009,87031,2009,1,20,0,1,N
IDCJAC0009,87031,2009,1,21,0,1,N
IDCJAC0009,87031,2009,1,22,0,1,N
IDCJAC0009,87031,2009,1,23,0,1,N
IDCJAC0009,87031,2009,1,24,0,1,N
IDCJAC0009,87031,2009,1,25,0,1,N
IDCJAC0009,87031,2009,1,26,0,1,N
IDCJAC0009,87031,2009,1,27,0,1,N
IDCJAC0009,87031,2009,1,28,0,1,N
IDCJAC0009,87031,2009,1,29,0,1,N
IDCJAC0009,87031,2009,1,30,0,1,N
IDCJAC0009,87031,2009,1,31,0,1,N
IDCJAC0009,87031,2009,2,1,0,1,N
IDCJAC0009,87031,2009,2,2,0,1,N
IDCJAC0009,87031,2009,2,3,0,1,N
IDCJAC0009,87031,2009,2,4,0,1,N
IDCJAC0009,87031,2009,2,5,0,1,N
