"date","rainfall_amount"
2009-09-08,15.2
2009-09-09,0
2009-09-10,0
2009-09-11,0
2009-09-12,0
2009-09-13,0
2009-09-14,0
2009-09-15,0
2009-09-16,0
2009-09-17,0
2009-09-18,0
2009-09-19,0
2009-09-20,0
2009-09-21,0
2009-09-22,0.2
2009-09-23,0
2009-09-24,0
2009-09-25,0
2009-09-26,0
2009-09-27,0
2009-09-28,0
2009-09-29,0
2009-09-30,0
2009-10-01,0
2009-10-02,0
2009-10-03,0
2009-10-04,0
2009-10-05,0.4
2009-10-06,0
2009-10-07,0
2009-10-08,2.4
2009-10-09,0
2009-10-10,0
2009-10-11,0
2009-10-12,1
2009-10-13,1.8
2009-10-14,10.2
2009-10-15,0.2
2009-10-16,0
2009-10-17,0
2009-10-18,0
2009-10-19,0
2009-10-20,0
2009-10-21,0
2009-10-22,0
2009-10-23,0
2009-10-24,0
2009-10-25,0.4
2009-10-26,0
2009-10-27,35.4
2009-10-28,1.2
2009-10-29,4.4
2009-10-30,0
2009-10-31,0
2009-11-01,0.4
2009-11-02,0
2009-11-03,0
2009-11-04,0
2009-11-05,0
2009-11-06,0.4
2009-11-07,7
2009-11-08,0.2
2009-11-09,17
2009-11-10,1.6
2009-11-11,0.2
2009-11-12,0
2009-11-13,0
2009-11-14,0
2009-11-15,0
2009-11-16,0
2009-11-17,0
2009-11-18,3.2
2009-11-19,0
2009-11-20,0
2009-11-21,0
2009-11-22,0
2009-11-23,0
2009-11-24,1.2
2009-11-25,0.2
2009-11-26,0
2009-11-27,0
2009-11-28,0
2009-11-29,0
2009-11-30,0
2009-12-01,0
2009-12-02,0
2009-12-03,6.6
2009-12-04,0
2009-12-05,0
2009-12-06,0
2009-12-07,0
2009-12-08,0
2009-12-09,0
2009-12-10,0
2009-12-11,0
2009-12-12,0
2009-12-13,0.6
2009-12-14,0.2
2009-12-15,0
2009-12-16,12.2
2009-12-17,0
2009-12-18,0
2009-12-19,0
2009-12-20,4.8
2009-12-21,34
2009-12-22,0
2009-12-23,13
2009-12-24,1.6
2009-12-25,0.2
2009-12-26,13.2
2009-12-27,21
2009-12-28,21.6
2009-12-29,35
2009-12-30,7.8
2009-12-31,0.4
2010-01-01,1.4
2010-01-02,0.8
2010-01-03,0
2010-01-04,20.6
2010-01-05,0
2010-01-06,0
2010-01-07,0.6
2010-01-08,0.2
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,0
2010-01-13,0
2010-01-14,0
2010-01-15,0
2010-01-16,0
2010-01-17,0
2010-01-18,4.4
2010-01-19,0
2010-01-20,0.2
2010-01-21,0
2010-01-22,0
2010-01-23,0
2010-01-24,0
2010-01-25,0
2010-01-26,0
2010-01-27,0
2010-01-28,0
2010-01-29,3.6
2010-01-30,3
2010-01-31,5.4
2010-02-01,17.4
2010-02-02,2.6
2010-02-03,2.4
2010-02-04,0
2010-02-05,0
2010-02-06,0
2010-02-07,89
2010-02-08,0.8
2010-02-09,0.2
2010-02-10,7
2010-02-11,0
2010-02-12,0
2010-02-13,0
2010-02-14,0
2010-02-15,0
2010-02-16,17.4
2010-02-17,121.4
2010-02-18,0
2010-02-19,0
2010-02-20,0.4
2010-02-21,2.2
2010-02-22,0.2
2010-02-23,0
2010-02-24,0
2010-02-25,0
2010-02-26,1.4
2010-02-27,0.6
2010-02-28,9.4
2010-03-01,26.8
2010-03-02,60.6
2010-03-03,23.6
2010-03-04,20
2010-03-05,0.2
2010-03-06,9
2010-03-07,3.4
2010-03-08,0.6
2010-03-09,0
2010-03-10,0
2010-03-11,0
2010-03-12,1.2
2010-03-13,0.6
2010-03-14,0.6
2010-03-15,4.8
2010-03-16,0.2
2010-03-17,0.2
2010-03-18,0
2010-03-19,0
2010-03-20,0
2010-03-21,1
2010-03-22,0
2010-03-23,0
2010-03-24,1.6
2010-03-25,0
2010-03-26,3.4
2010-03-27,0
2010-03-28,0
2010-03-29,1.2
2010-03-30,3.2
2010-03-31,0
2010-04-01,1.4
2010-04-02,0
2010-04-03,0
2010-04-04,0
2010-04-05,0
2010-04-06,0
2010-04-07,0
2010-04-08,0
2010-04-09,0
2010-04-10,0
2010-04-11,0
2010-04-12,0.2
2010-04-13,2
2010-04-14,0
2010-04-15,0
2010-04-16,0
2010-04-17,0.4
2010-04-18,0.6
2010-04-19,4.6
2010-04-20,1
2010-04-21,10.2
2010-04-22,12.8
2010-04-23,0.2
2010-04-24,0.8
2010-04-25,2.2
2010-04-26,0
2010-04-27,0
2010-04-28,0
2010-04-29,0
2010-04-30,0
2010-05-01,0
2010-05-02,0.6
2010-05-03,0.2
2010-05-04,4.2
2010-05-05,8.4
2010-05-06,0
2010-05-07,0
2010-05-08,0
2010-05-09,0
2010-05-10,0
2010-05-11,0
2010-05-12,12.2
2010-05-13,0.2
2010-05-14,0
2010-05-15,0
2010-05-16,0
2010-05-17,0
2010-05-18,0
2010-05-19,0
2010-05-20,0
2010-05-21,4
2010-05-22,18.6
2010-05-23,0
2010-05-24,0
2010-05-25,3.6
2010-05-26,0
2010-05-27,0
2010-05-28,0
2010-05-29,6.4
2010-05-30,2.8
2010-05-31,0
2010-06-01,0
2010-06-02,0.4
2010-06-03,0
2010-06-04,0
2010-06-05,0
2010-06-06,0
2010-06-07,0
2010-06-08,0
2010-06-09,0
2010-06-10,0
2010-06-11,0
2010-06-12,0
2010-06-13,0
2010-06-14,0
2010-06-15,0
2010-06-16,0
2010-06-17,0
2010-06-18,0
2010-06-19,0
2010-06-20,0
2010-06-21,0
2010-06-22,0
2010-06-23,0.6
2010-06-24,4.4
2010-06-25,0
2010-06-26,0
2010-06-27,0
2010-06-28,0
2010-06-29,0
2010-06-30,0.8
2010-07-01,2.2
2010-07-02,0.2
2010-07-03,8.6
2010-07-04,0
2010-07-05,0
2010-07-06,0
2010-07-07,0
2010-07-08,0.4
2010-07-09,0
2010-07-10,0
2010-07-11,0
2010-07-12,0
2010-07-13,0
2010-07-14,0
2010-07-15,0
2010-07-16,0
2010-07-17,0
2010-07-18,0
2010-07-19,0
2010-07-20,1
2010-07-21,0
2010-07-22,0
2010-07-23,0
2010-07-24,0
2010-07-25,0
2010-07-26,2
2010-07-27,0.2
2010-07-28,5.2
2010-07-29,8
2010-07-30,0
2010-07-31,0
2010-08-01,0
2010-08-02,0
2010-08-03,0
2010-08-04,0
2010-08-05,0
2010-08-06,0
2010-08-07,0
2010-08-08,0
2010-08-09,0
2010-08-10,2.8
2010-08-11,78
2010-08-12,0
2010-08-13,0.2
2010-08-14,0
2010-08-15,0
2010-08-16,0
2010-08-17,0
2010-08-18,0
2010-08-19,0
2010-08-20,8.6
2010-08-21,4.6
2010-08-22,0
2010-08-23,0
2010-08-24,10.2
2010-08-25,0.2
2010-08-26,0
2010-08-27,0
2010-08-28,0
2010-08-29,0
2010-08-30,0
2010-08-31,0
2010-09-01,0
2010-09-02,0
2010-09-03,0
2010-09-04,0
2010-09-05,3.4
2010-09-06,26.8
2010-09-07,0
2010-09-08,0
2010-09-09,0
2010-09-10,0
2010-09-11,3.2
2010-09-12,0
2010-09-13,0
2010-09-14,0
2010-09-15,0.4
2010-09-16,0
2010-09-17,0
2010-09-18,0
2010-09-19,0
2010-09-20,8.6
2010-09-21,22.4
2010-09-22,0
2010-09-23,0
2010-09-24,0.2
2010-09-25,1.2
2010-09-26,5.4
2010-09-27,0.2
2010-09-28,0
2010-09-29,31.4
2010-09-30,0.4
2010-10-01,0
2010-10-02,3.4
2010-10-03,6.6
2010-10-04,2
2010-10-05,2.2
2010-10-06,0
2010-10-07,0
2010-10-08,54
2010-10-09,23.4
2010-10-10,8
2010-10-11,93.6
2010-10-12,22.4
2010-10-13,4.2
2010-10-14,0.2
2010-10-15,0
2010-10-16,22.2
2010-10-17,0
2010-10-18,0
2010-10-19,0
2010-10-20,0.8
2010-10-21,1.6
2010-10-22,0
2010-10-23,0
2010-10-24,0
2010-10-25,34.4
2010-10-26,0
2010-10-27,0.4
2010-10-28,0.2
2010-10-29,26.8
2010-10-30,0
2010-10-31,0
2010-11-01,0
2010-11-02,0.2
2010-11-03,0
2010-11-04,6.2
2010-11-05,19.6
2010-11-06,2.6
2010-11-07,0
2010-11-08,0
2010-11-09,0.6
2010-11-10,0.8
2010-11-11,0
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0.2
2010-11-16,0
2010-11-17,0
2010-11-18,5.2
2010-11-19,9.4
2010-11-20,0.2
2010-11-21,1
2010-11-22,4.4
2010-11-23,0.2
2010-11-24,1
2010-11-25,0
2010-11-26,0.2
2010-11-27,1.8
2010-11-28,0
2010-11-29,0
2010-11-30,4.2
2010-12-01,3.8
2010-12-02,58.6
2010-12-03,1.2
2010-12-04,0.2
2010-12-05,50.6
2010-12-06,0.8
2010-12-07,8.4
2010-12-08,5.4
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,80.4
2010-12-13,1.6
2010-12-14,0
2010-12-15,0.2
2010-12-16,0.6
2010-12-17,47.6
2010-12-18,0
2010-12-19,9.8
2010-12-20,57.4
2010-12-21,0
2010-12-22,0
2010-12-23,12.8
2010-12-24,0.2
2010-12-25,36.2
2010-12-26,8.8
2010-12-27,60.2
2010-12-28,34
2010-12-29,1
2010-12-30,0
2010-12-31,0
2011-01-01,0.4
2011-01-02,3
2011-01-03,0
2011-01-04,0
2011-01-05,0
2011-01-06,41.8
2011-01-07,35.6
2011-01-08,11.6
2011-01-09,12.2
2011-01-10,110.8
2011-01-11,15.4
2011-01-12,40
2011-01-13,0.4
2011-01-14,0
2011-01-15,0.4
2011-01-16,0
2011-01-17,0
2011-01-18,0
2011-01-19,3.4
2011-01-20,36.2
2011-01-21,4.4
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,0
2011-01-28,0
2011-01-29,0.2
2011-01-30,0
2011-01-31,0
2011-02-01,3.6
2011-02-02,3.8
2011-02-03,2
2011-02-04,0.2
2011-02-05,2.2
2011-02-06,7
2011-02-07,1.6
2011-02-08,6.4
2011-02-09,14.2
2011-02-10,0
2011-02-11,1.2
2011-02-12,0
2011-02-13,0
2011-02-14,0
2011-02-15,0
2011-02-16,21
2011-02-17,2.2
2011-02-18,19
2011-02-19,0
2011-02-20,0
2011-02-21,0
2011-02-22,68.8
2011-02-23,0.2
2011-02-24,3.6
2011-02-25,0
2011-02-26,0
2011-02-27,0
2011-02-28,0
2011-03-01,0
2011-03-02,22.6
2011-03-03,1.2
2011-03-04,23.4
2011-03-05,29.2
2011-03-06,1.4
2011-03-07,0.4
2011-03-08,0.8
2011-03-09,2.4
2011-03-10,0.2
2011-03-11,0
2011-03-12,0.2
2011-03-13,0
2011-03-14,3.4
2011-03-15,0
2011-03-16,0
2011-03-17,0
2011-03-18,0
2011-03-19,1.4
2011-03-20,32.6
2011-03-21,1.2
2011-03-22,0
2011-03-23,0
2011-03-24,0
2011-03-25,0
2011-03-26,0
2011-03-27,0
2011-03-28,0
2011-03-29,6
2011-03-30,6.8
2011-03-31,16
2011-04-01,5.6
2011-04-02,4.6
2011-04-03,0.8
2011-04-04,0
2011-04-05,0
2011-04-06,1
2011-04-07,0
2011-04-08,13.4
2011-04-09,5
2011-04-10,0
2011-04-11,0
2011-04-12,7.6
2011-04-13,0
2011-04-14,0
2011-04-15,0
2011-04-16,2
2011-04-17,0.6
2011-04-18,3.8
2011-04-19,16.2
2011-04-20,2.6
2011-04-21,0.2
